Rname,RSet,mips,Mips定义,定义文件,Format文件,InstrItinClass文件,ISA文件
fnmadd.d,d,nmadd.d,def NMADD_D32:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fnmsub.d,d,nmsub.d,def NMSUB_D32:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fsd,d,sdc1,def SDC1:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fsqrt.d,d,sqrt.d,defm FSQRT:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fsub.d,d,sub.d,defm FSUB:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fadd.s,f,add.s,def FADD_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fclass.s,f,class.s,def CLASS_S:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.l.s,f,cvt.l.s,def CVT_L_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.lu.s,f,cvt.l.s,def CVT_L_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.s.d,f,cvt.s.d,def CVT_S_D32:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.s.l,f,cvt.s.l,def CVT_S_L:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.s.lu,f,cvt.s.l,def CVT_S_L:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.s.w,f,cvt.s.w,def CVT_S_W:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.s.wu,f,cvt.s.w,def CVT_S_W:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.w.s,f,cvt.w.s,def CVT_W_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fcvt.wu.s,f,cvt.w.s,def CVT_W_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fdiv.s,f,div.s,def FDIV_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
feq.s,f,c.eq.s,multiclass?C_COND_M;def C_EQ_#NAME;defm S,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fle.s,f,c.le.s,multiclass?C_COND_M;def C_LE_#NAME;defm S,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
flt.s,f,c.lt.s,multiclass?C_COND_M;def C_LT_#NAME;defm S,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
flw,f,lwc1,def LWC1:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmadd.s,f,madd.s,def MADD_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmax.s,f,max.s,def MAX_S:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmin.s,f,min.s,def MIN_S:,Mips32R6InstrInfo.td,Mips32R6InstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmsub.s,f,msub.s,def MSUB_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmul.s,f,mul.s,def FMUL_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmv.x.w,f,mov.s,def FMOV_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fmv.w.x,f,mov.s,def FMOV_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fnmadd.s,f,nmadd.s,def NMADD_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fnmsub.s,f,nmsub.s,def NMSUB_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fsqrt.s,f,sqrt.s,def FSQRT_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fsub.s,f,sub.s,def FSUB_S:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
fsw,f,swc1,def SWC1:,MipsInstrFPU.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
div,m,div,def SDIV:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
divu,m,divu,def UDIV:,MipsInstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
divuw,m,ddivu,def DUDIV:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
divw,m,ddiv,def DSDIV:,Mips64InstrInfo.td,MipsInstrFormats.td,MipsSchedule.td,MipsInstrInfo.td
